title,congress_id,first_name,last_name,chamber,district,state,party,facebook_url,twitter_handle,member_level,signed_letter_count,voted_with_bma_count,legislation
Rep. Vern Buchanan,B001260,Vern,Buchanan,rep,16,FL,R,https://www.facebook.com/CongressmanBuchanan/, @VernBuchanan,supporter,,,
Rep. Ken Buck,B001297,Ken,Buck,rep,4,CO,R,https://www.facebook.com/repkenbuck/,@RepKenBuck,supporter,,,
Rep. Larry Buchson,B001275,Larry,Bucshon,rep,8,IN,R,https://www.facebook.com/RepLarryBucshon/,@RepLarryBucshon,supporter,,,
Rep. Ted Budd,B001305,Ted,Budd,rep,13,NC,R,https://www.facebook.com/RepTedBudd/,@RepTedBudd,supporter,,,
Rep. Tim Burchett,B001309,Tim,Burchett,rep,2,TN,R,https://www.facebook.com/RepTimBurchett/,@RepTimBurchett,supporter,,,
Rep. Cheri Bustos,B001286,Cheri,Bustos,rep,17,IL,D,https://www.facebook.com/RepCheri/,@RepCheri,supporter,,,
Rep. Bradley Byrne,B001289,Bradley,Byrne,rep,1,AL,R,https://www.facebook.com/RepByrne/,@RepByrne,supporter,,,
Rep. Ken Calvert,C000059,Ken,Calvert,rep,42,CA,R,https://www.facebook.com/RepKenCalvert/,@KenCalvert,supporter,,,
Rep. Salud Carbajal,C001112,Salud,Carbajal,rep,24,CA,D,https://www.facebook.com/repsaludcarbajal/,@RepCarbajal,supporter,,,
Rep. Tony Cárdenas,C001097,Tony,Cárdenas,rep,29,CA,D,https://www.facebook.com/CongressmanCardenas/,@RepCardenas ,champion,,,2019 MA Rate Notice Crash Letter;;Lead circulator
Rep. Andre Carson,C001072,Andre,Carson,rep,7,IN,D,https://www.facebook.com/CongressmanAndreCarson,@RepAndreCarson,supporter,,,
Rep. Buddy Carter,C001103,Buddy,Carter,rep,1,GA,R,https://www.facebook.com/CongressmanBuddyCarter,@RepBuddyCarter,supporter,,,
Rep. John Carter,C001051,John,Carter,rep,31,TX,R,https://www.facebook.com/judgecarter/,@JudgeJohnCarter,supporter,,,
Rep. Ed Case,C001055,Ed,Case,rep,1,HI,D,https://www.facebook.com/ed.case.5,@RepEdCase,supporter,,,
Rep. Steve Chabot,C000266,Steve,Chabot,rep,1,OH,R,https://www.facebook.com/RepSteveChabot,@RepSteveChabot,supporter,,,
Rep. Gil Cisneros,C001123,Gil,Cisneros,rep,39,CA,D,https://www.facebook.com/RepGilCisneros/,@RepGilCisneros,supporter,,,
Rep. Yvette Clarke,C001067,Yvette,Clarke,rep,9,NY,D,https://www.facebook.com/repyvettedclarke/,@RepYvetteClarke,supporter,,,
Rep. Michael Cloud,C001115,Michael ,Cloud ,rep,27,TX,R,https://www.facebook.com/RepCloudTX/,@RepCloudTX,supporter,,,
Rep. Steve Cohen,C001068,Steve,Cohen,rep,9,TN,D,https://www.facebook.com/CongressmanSteveCohen/,@RepCohen,supporter,,,
Rep. Tom Cole,C001053,Tom,Cole,rep,4,OK,R,https://www.facebook.com/TomColeOK04/,@TomColeOK04,supporter,,,
Rep. Chris Collins,C001092,Chris,Collins,rep,27,NY,R,https://www.facebook.com/RepChrisCollins/,@RepChrisCollins,supporter,,,
Rep. James Comer,C001108,James,Comer,rep,1,KY,R,https://www.facebook.com/CongressmanComer/,@KYComer,supporter,,,
Rep. Mike Conaway,C001062,Mike,Conaway,rep,11,TX,R,https://www.facebook.com/mike.conaway/,@ConawayTX11,supporter,,,
Rep. Gerry Connolly,C001078,Gerry,Connolly,rep,11,VA,D,https://www.facebook.com/CongressmanGerryConnolly,@GerryConnolly,supporter,,,
Rep. Lou Correa,C001110,Lou,Correa,rep,46,CA,D,https://www.facebook.com/RepLouCorrea/,@RepLouCorrea,supporter,,,
Rep. Jim Costa,C001059,Jim,Costa,rep,16,CA,D,https://www.facebook.com/RepJimCosta/,@RepJimCosta,supporter,,,
Rep TJ Cox,C001124,TJ,Cox,rep,21,CA,D,https://www.facebook.com/RepTJCox/,@RepTjCox,supporter,,,
Rep. Angela Craig,C001119,Angela,Craig,rep,2,MN,D,https://www.facebook.com/RepAngieCraig,@RepAngieCraig,supporter,,,
Rep. Rick Crawford,C001087,Rick,Crawford,rep,1,AR,R,,@RepRickCrawford,supporter,,,
Rep. Dan Crenshaw,C001120,Dan,Crenshaw,rep,2,TX,R,https://www.facebook.com/RepDanCrenshaw/,@RepDanCrenshaw,supporter,,,
